Date / Time,City,State,Shape,Duration,Summary,Posted
4/27/2020 21:00,Williamsburg,VA,Light,1 minute 30 seconds,40 plus lights detected in the sky traveling at a high rate of speed straight in a line. ((Starlink satellites?)),6/25/2020
4/27/2020 21:00,Chesapeake,VA,Other,10 seconds,Five lights (looked like stars) moving south one behind the other and disappeared in succession. ((Starlink satellites?)),6/25/2020
4/27/2020 21:00,Edwardsville,KS,Light,5 sec,Walked outside and seen a straight line of about 15 lights not in a row but two or three separated by a space. ((Starlink satellites?)),6/25/2020
4/27/2020 21:00,South Charleston,WV,Light,5min,Strand of lights perfectly spaced moving in unison across the sky. I counted over 20 crafts. ((Starlink satellites?)),6/25/2020
4/27/2020 21:00,North Potomac,MD,Light,2 minutes,In a clear sky 12-14 star like objects flying in a straight line from North towards South . ((Starlink satellites?)),6/25/2020
4/27/2020 21:00,Severn,MD,Circle,7 minutes,25-30 White Lights Flying Over Severn. ((Starlink satellites?)),6/25/2020
4/27/2020 20:50,Houston,TX,Circle,1-2 minutes,Circular object rotating and flying at a high rate of speed appeared to be avoiding my camera by turning off its lights.,6/25/2020
4/27/2020 20:45,Quratsite,AZ,Light,25 seconds,Flashing lghts inconsistent string blink bright to dim wavy flight patern ((Starlink satellites?)),6/25/2020
4/27/2020 20:40,Binghamton,NY,Light,5 to 10 minutes,About 10 to 15 white lights in a line seen in Upstate New York. ((Starlink satellites?)),6/25/2020
4/27/2020 20:40,Newberg,OR,Light,15 minutes,Object with two whitish lights and blue glow flying over Chehalem mountains,6/25/2020
4/27/2020 20:40,Valley Stream,NY,Light,2-3 minutes,Straight string of small white lights across apex of sky. ((Starlink satellites?)),6/25/2020
4/27/2020 20:30,Vancouver (Canada),BC,Formation,10 minutes,"Stars moving across sky in formation, at equal distance and speed, following each other for 10 minutes((Starlink satellites?))",6/25/2020
4/27/2020 20:15,Colonial Beach,VA,Unknown,15 minutes,Saw 6 objects flying down the Potomac.,6/25/2020
4/27/2020 10:14,Indianapolis,IN,Formation,10 seconds,15 glowing objects in a strait line disappeared one after another. ((Starlink satellites?)),6/25/2020
4/27/2020 9:30,Windsor,MO,,2 minutes,convoy of 20+ lights in the evening sky with a witness. ((Starlink satellites?)),6/25/2020
4/27/2020 8:45,Eatonville,WA,Light,15 seconds,Huge flash of light beamed out of sky into my woods. Noticed it from inside my cabin. Ran outside and the light did not appear to have,6/25/2020
4/27/2020 8:40,Newberg,OR,Light,5-10 minutes,"A silent double blueish white light that moved extremely fast and did loops, turns, and an extremely fast descent, and blinked on and o",6/25/2020
4/27/2020 6:00,Carlsbad,NM,Light,10 minutes,"Outside at 6am and looked up abd saw what appeared to be a largwr rgan normal bright star. I watched it for about 3 minutes, then notic",6/25/2020
4/26/2020 23:45,San Marcos,TX,Triangle,,described as a triangle that was barely reflecting from the moon. It was absolutely silent,6/25/2020
4/26/2020 23:30,Palmyra,IN,Other,~1.5 minute,Dogs scratching and whimpering at door. Observed a dark craft the size of a barge over pond in the field. Object was two stories still,6/25/2020
