Date / Time,City,State,Shape,Duration,Summary,Posted
4/30/2020 21:20,Deland,FL,Light,5 minutes,there was A-line of lights moving a cross the sky. They were moving North to South. ((Starlink satellites?)),6/25/2020
4/30/2020 21:15,Coconut Creek,FL,Formation,Less than a minute,Dots of light in a line formation slowly moved in a southwest upward motion and each disappeared as it looked to be going upward.,6/25/2020
4/30/2020 21:15,Brooksville,FL,Light,10,"Long string of 24+ equally spaced lights moving across the sky from North to South in Brooksville, FL.",6/25/2020
4/30/2020 21:15,New Smyrna Beach,FL,Light,20 seconds,Numerous lights flying across the sky in a straight line and equidistant. ((Starlink satellites?)),6/25/2020
4/30/2020 21:15,Coral Springs,FL,Light,3:00,It was a consistent line of moving lights evenly spaced. ((Starlink satellites?)),6/25/2020
4/30/2020 21:15,Fort Myers,FL,Rectangle,1 minute,"A line of line of lights 7 in front, 5 in the middle, and another 6 or 7 in front. ((Starlink satellites?))",6/25/2020
4/30/2020 21:10,Saint Augustine,FL,Light,5 minutes,20 plus lights in single file. About 5 minutes viewing. Last 2 lights were side by side. ((Starlink satellites?)),6/25/2020
4/30/2020 21:09,Des Moines,IA,Disk,2 minutes,hovering saucer nears ground then disappears in sky,6/25/2020
4/30/2020 21:05,Titusville,FL,Light,12 minutes,Objects look like stars but moving fast in one line. ((Starlink satellites?)),6/25/2020
4/30/2020 21:00,Coral Gables,FL,Light,5 min,A couple stopped me and told me &quot;Am I crazy or those lights are moving? ((Starlink satellites?)),6/25/2020
4/30/2020 21:00,Palm Bay,FL,Light,5 minutes,15 plus lights traveling in perfect straight line. Appeared as bright as a star.,6/25/2020
4/30/2020 21:00,Seabrook,TX,Formation,2 minutes,19 fast flying silent UFOs in formation. ((Starlink satellites?)),6/25/2020
4/30/2020 21:00,Ocala,FL,Light,Varied,I went out to smoke i always watch the sky when i seen 6 white lights high in the sky flying 2x2 with 1 in the front lasted for about 1,6/25/2020
4/30/2020 21:00,Dover,FL,Light,5 minutes,String of lights in Tampa Bay area.. ((Starlink satellites?)),6/25/2020
4/30/2020 20:50,Baton Rouge,LA,Formation,5 minutes,Line of light moving across the sky. ((Starlink satellites?)),6/25/2020
4/30/2020 20:15,Clermont,FL,Cigar,5 Minutes,I saw 20+ bright lights cross the sky to the West below the moon. ((Starlink satellites?)),6/25/2020
4/30/2020 20:10,Truth or Consequences,NM,Circle,10 seconds,Was visible to the north. Two large circular red lights. Moved from east to west. Both lights appeared and then they moved west one ov,6/25/2020
4/30/2020 19:50,Roseburg,OR,Oval,5 minutes,"We were driving and had to pull over, craft was moving slowly, was as white as light, we watched it zig zag slowly and then disappear o",6/25/2020
4/30/2020 19:00,Pleasant view,UT,Sphere,60 seconds,My girlfriend and I were hammocking in my back yard when we saw something we first thought was a weather ballon then changes shape into,6/25/2020
4/30/2020 17:00,Vancouver,WA,Circle,5 minutes,"Saw 'white orb swarm' of 10-20 during the day, near Columbia River in Vancouver, WA on 4/30/20.",6/25/2020
4/30/2020 17:00,Micco,FL,Light,5:00,"10-12 objects flying or moving symmetrically, moving south! All objects looked like stars! ((Starlink satellites?))",6/25/2020
4/30/2020 14:30,American Fork,UT,Changing,3 minutes,Stationary bright silver object hovering over mountain then vanished out of sight.,6/25/2020
4/30/2020 14:22,American Utah,UT,Light,3 minutes,Picture of the same UFO that they filmed at Skinwalker Ranch.,6/25/2020
4/30/2020 13:13,Cottonwood Heights,UT,,30 seconds,Hill AFB just did the Covid flyby to support our first responders. Took this picture on Ft. Union Blvd. looks like a foo fighter above.,5/7/2020
