datetime,city,state,country,shape,duration,summary,posted,latitude,longitude
4/30/2020 17:00,Vancouver,WA,us,Circle,5 minutes,"Saw 'white orb swarm' of 10-20 during the day, near Columbia River in Vancouver, WA on 4/30/20.",6/25/2020,49.2636,-123.1386
4/30/2020 17:00,Micco,FL,us,Light,5:00,"10-12 objects flying or moving symmetrically, moving south! All objects looked like stars! ((Starlink satellites?))",6/25/2020,27.8751,-80.4986
4/30/2020 14:30,American Fork,UT,us,Changing,3 minutes,Stationary bright silver object hovering over mountain then vanished out of sight.,6/25/2020,40.3768,-111.7959
4/30/2020 14:22,Utah,UT,us,Light,3 minutes,Picture of the same UFO that they filmed at Skinwalker Ranch.,6/25/2020,,
4/30/2020 13:13,Cottonwood Heights,UT,us,,30 seconds,Hill AFB just did the Covid flyby to support our first responders. Took this picture on Ft. Union Blvd. looks like a foo fighter above.,5/7/2020,40.6163,-111.8105
4/30/2020 11:30,San Diego,CA,us,Formation,5 minutes,Three objects in exact formation,6/25/2020,32.715,-117.1625
4/30/2020 9:17,Orlando,FL,us,Circle,3 minutes,There was circular lights flying in a straight line crossing the moon. ((Starlink satellites?)),6/25/2020,28.5383,-81.3789
4/30/2020 9:17,Davie,FL,us,Light,3 minutes,Backyard UFO Fleet night sky sighting! ((Starlink satellites?)),6/25/2020,26.0651,-80.2322
4/30/2020 9:14,Tifton,GA,us,Light,3 minutes,30+ dots of light flying ons behind the other in a straight line heading south east. ((Starlink satellites?)),6/25/2020,31.4505,-83.509
4/30/2020 3:28,Boise,ID,us,,,MADAR Node 111,6/25/2020,43.6158,-116.2016
4/30/2020 3:15,Clearwater,FL,us,Other,30 minutes,Got up to 3:15am was attracted to look at a â€œstar likeâ€ that suddenly went to a blinding bright envelope of bright light.,6/25/2020,27.964,-82.8
4/30/2020 2:30,Bloomington,IL,us,Light,15 minutes,Spotted an indigo light to the east of the city. encounter lasted roughtly 15 minutes.,6/25/2020,39.1666,-86.5349
4/30/2020 0:11,Pueblo,CO,us,,,MADAR Node 83,6/25/2020,38.2654,-104.6104
