latitude,longitude,geometry,city,zip,dst,geopoint,state,timezone
33.810848,-118.35096,Point,Torrance,90505,1,"33.810848,-118.35096",CA,-8
42.405162,-123.3624,Point,Grants Pass,97527,1,"42.405162,-123.3624",OR,-8
42.129926,-121.81778,Point,Midland,97634,1,"42.129926,-121.81778",OR,-8
48.853213,-122.247881,Point,Maple Falls,98266,1,"48.853213,-122.247881",WA,-8
47.905787,-120.520211,Point,Wenatchee,98807,1,"47.905787,-120.520211",WA,-8
60.911003,-149.62708,Point,Hope,99605,1,"60.911003,-149.62708",AK,-9
35.480924,-108.176693,Point,Gallup,87302,1,"35.480924,-108.176693",NM,-7
61.796774,-150.07792,Point,Willow,99688,1,"61.796774,-150.07792",AK,-9
42.578689,-71.80338,Point,Fitchburg,1420,1,"42.578689,-71.80338",MA,-5
41.095037,-90.80998,Point,Seaton,61476,1,"41.095037,-90.80998",IL,-6
38.261863,-90.3902,Point,Herculaneum,63048,1,"38.261863,-90.3902",MO,-6
29.883884,-98.25219,Point,Canyon Lake,78133,1,"29.883884,-98.25219",TX,-6
29.649797,-98.50406,Point,San Antonio,78258,1,"29.649797,-98.50406",TX,-6
40.078242,-104.49916,Point,Keenesburg,80643,1,"40.078242,-104.49916",CO,-7
37.409787,-102.61726,Point,Springfield,81073,1,"37.409787,-102.61726",CO,-7
29.883266,-91.5301,Point,Charenton,70523,1,"29.883266,-91.5301",LA,-6
46.877355,-102.0497,Point,Hebron,58638,1,"46.877355,-102.0497",ND,-6
45.310206,-110.8895,Point,Emigrant,59027,1,"45.310206,-110.8895",MT,-7
38.590743,-97.67156,Point,Lindsborg,67456,1,"38.590743,-97.67156",KS,-6
40.43034,-97.73815,Point,Shickley,68436,1,"40.43034,-97.73815",NE,-6
42.467095,-96.4187,Point,South Sioux City,68776,1,"42.467095,-96.4187",NE,-6
37.946913,-94.42222,Point,Horton,64751,1,"37.946913,-94.42222",MO,-6
33.818635,-96.69338,Point,Pottsboro,75076,1,"33.818635,-96.69338",TX,-6
32.803646,-96.56965,Point,Sunnyvale,75182,1,"32.803646,-96.56965",TX,-6
32.762563,-97.48079,Point,Fort Worth,76108,1,"32.762563,-97.48079",TX,-6
30.065029,-94.18031,Point,Beaumont,77707,1,"30.065029,-94.18031",TX,-6
37.812815,-121.21416,Point,Manteca,95336,1,"37.812815,-121.21416",CA,-8
45.920035,-88.68929,Point,Long Lake,54542,1,"45.920035,-88.68929",WI,-6
44.884265,-93.16415,Point,Mendota,55150,1,"44.884265,-93.16415",MN,-6
36.522355,-87.02542,Point,Cedar Hill,37032,1,"36.522355,-87.02542",TN,-6
36.560966,-82.65855,Point,Mount Carmel,37645,1,"36.560966,-82.65855",TN,-5
38.096056,-85.85994,Point,Louisville,40272,1,"38.096056,-85.85994",KY,-5
38.880632,-84.00874,Point,Feesburg,45119,1,"38.880632,-84.00874",OH,-5
38.355935,-86.55656,Point,Taswell,47175,0,"38.355935,-86.55656",IN,-5
39.377883,-87.20462,Point,Cory,47846,0,"39.377883,-87.20462",IN,-5
39.25182,-87.40974,Point,Farmersburg,47850,0,"39.25182,-87.40974",IN,-5
48.842195,-111.59529,Point,Oilmont,59466,1,"48.842195,-111.59529",MT,-7
48.597362,-110.077,Point,Kremlin,59532,1,"48.597362,-110.077",MT,-7
42.43335,-87.776595,Point,North Chicago,60086,1,"42.43335,-87.776595",IL,-6
46.511555,-102.8735,Point,New England,58647,1,"46.511555,-102.8735",ND,-7
48.298407,-102.76645,Point,White Earth,58794,1,"48.298407,-102.76645",ND,-6
33.640629,-87.11584,Point,Quinton,35130,1,"33.640629,-87.11584",AL,-6
33.762195,-85.837828,Point,Bynum,36253,1,"33.762195,-85.837828",AL,-6
33.758056,-84.42268,Point,Atlanta,30314,1,"33.758056,-84.42268",GA,-5
33.744222,-85.286982,Point,Tallapoosa,30716,1,"33.744222,-85.286982",GA,-5
30.803291,-84.54711,Point,Fowlstown,31752,1,"30.803291,-84.54711",GA,-5
30.598564,-87.031496,Point,Bagdad,32530,1,"30.598564,-87.031496",FL,-6
28.744752,-81.22328,Point,Winter Springs,32719,1,"28.744752,-81.22328",FL,-5
29.008612,-81.50174,Point,Paisley,32767,1,"29.008612,-81.50174",FL,-5
38.915141,-79.53066,Point,Harman,26270,1,"38.915141,-79.53066",WV,-5
39.867158,-75.1802,Point,National Park,8063,1,"39.867158,-75.1802",NJ,-5
40.606337,-74.14513,Point,Staten Island,10314,1,"40.606337,-74.14513",NY,-5
38.893311,-77.014647,Point,Washington,20077,1,"38.893311,-77.014647",DC,-5
38.880811,-77.11295,Point,Arlington,22219,1,"38.880811,-77.11295",VA,-5
