datetime,city,state,country,shape,duration_seconds,duration_hours_min,comments,date_posted,latitude,longitude 
10/10/1955 17:00,chester (uk/england),,gb,circle,20,20 seconds,Green/Orange circular disc over Chester England,1/21/2008,53.2,-2.916667
10/10/1956 21:00,edna,tx,us,circle,20,1/2 hour,My older brother and twin sister were leaving the only Edna theater at about 9 PM...we had our bikes and I took a different route home,1/17/2004,28.9783333,-96.6458333
10/10/1960 20:00,kaneohe,hi,us,light,900,15 minutes,AS a Marine 1st Lt. flying an FJ4B fighter/attack aircraft on a solo night exercise I was at 50000&#39 in a &quot;clean&quot; aircraft (no ordinan,1/22/2004,21.4180556,-157.8036111
10/10/1961 19:00,bristol,tn,us,sphere,300,5 minutes,My father is now 89 my brother 52 the girl with us now 51 myself 49 and the other fellow which worked with my father if he&#39s still livi,4/27/2007,36.595,-82.1888889
10/10/1965 21:00,penarth (uk/wales),,gb,circle,180,about 3 mins,penarth uk  circle  3mins  stayed 30ft above me for 3 mins slowly moved of and then with the blink of the eye the speed was unreal,2/14/2006,51.434722,-3.18
10/10/1965 23:45,norwalk,ct,us,disk,1200,20 minutes,A bright orange color changing to reddish color disk/saucer was observed hovering above power transmission lines.,10/2/1999,41.1175,-73.4083333
10/10/1966 20:00,pell city,al,us,disk,180,3  minutes,Strobe Lighted disk shape object observed close at low speeds and low altitude in Oct 1966 in Pell City Alabama,3/19/2009,33.5861111,-86.2861111
10/10/1966 21:00,live oak,fl,us,disk,120,several minutes,Saucer zaps energy from powerline as my pregnant mother receives mental signals not to pass info,5/11/2005,30.2947222,-82.9841667
10/10/1968 13:00,hawthorne,ca,us,circle,300,5 min.,ROUND  ORANGE  WITH WHAT I WOULD SAY WAS POLISHED METAL OF SOME KIND AROUND THE EDGES .,10/31/2003,33.9163889,-118.3516667
10/10/1968 19:00,brevard,nc,us,fireball,180,3 minutes,silent red /orange mass of energy floated by three of us in western North Carolina in the 60s,6/12/2008,35.2333333,-82.7344444
10/1/1955 22:00,mono lake (area),ca,,circle,5,five seconds+/-,NO KNOWN AIRCRAFT (1955 and maybe today) COULD MAKE SUCH A SPEEDY 360 DEGREE CIRCLE MANUVER WITH NO SOUND &#33,3/19/2009,38.007059,-119.012259
10/1/1956 19:00,newport,nh,us,rectangle,300,5 minutes,Disk with glass center section and flames behind the glass,4/16/2005,43.3652778,-72.1738889
10/1/1957 16:00,nelchina (near),ak,us,unknown,180,3 minutes maximum,This incident occurred about October of 1956 or &#8216;57. At the time I was Assistant station manager for a major airline in Anchorage as,12/7/2006,61.9919444,-146.7686111
10/1/1957 21:00,paterson,nj,us,disk,10,10 seconds,Formation of approximately 8 light gray metallic disks silently crossing the night sky around October 1957 in northern NJ,4/16/2005,40.9166667,-74.1722222
10/1/1957 22:00,northeast cape afs,ak,,,900,10-15min,Radar sighting and filming,1/28/1999,70.292489,-161.903334
10/1/1959 19:00,jacksonville,il,us,unknown,60,1 minute,Late 1959 bright lights from a hovering object of unknown shape making a zed-zid zed-zid electrical sound.,4/16/2005,39.7338889,-90.2288889
10/1/1961 3:00,toledo,oh,us,sphere,180,2-3 mins.,Observed dull silver metallic sphere hovering outside of bedroom window as a child.  Had direct communication with sphere.,11/19/1998,41.6638889,-83.5552778
10/1/1961 3:30,tulsa,ok,us,disk,120,2 minutes,October 1961 Tulsa Oklahoma: low altitude slow disk object(s); high speed turns v. high accelleration.,4/27/2007,36.1538889,-95.9925
10/1/1961 19:00,nashville,tn,us,disk,1800,30 minutes,In October 1961 a silvery flattened disk hovered motionless over a local school fair for more than 30 minutes.,8/5/2012,36.1658333,-86.7844444
10/1/1961 22:00,graham,nc,us,triangle,30,30 seconds,3 flat large  white lights in delta pattern no sound flying at tree-top level at 35-40 mph,5/14/2002,36.0688889,-79.4008333
10/1/1965 6:40,biloxi,ms,us,other,900,15 min,Cloud hovering then moving at right angles with pulsating light coming from within,11/17/1999,30.3958333,-88.8852778
