datetime,city,state,country,shape,duration_seconds,duration_hours_min,comments,date_posted,latitude,longitude 
6/25/1998 10:15,moab (near&#44 in arches national park),ut,us,light,420,one hour,We were on vacation in Arches National Park watching a satellite and shooting stars on an exceptionally dark clear night.  Then in t,11/21/1998,38.5733333,-109.5491667
6/25/1998 10:23,flagstaff,az,us,sphere,120,2 min,NE of Winona 3 miles Arizona at an archaeological site called Ridge Ruin. Spheres glowing red to yellow settle down move above site,11/21/1998,35.1980556,-111.6505556
6/25/1998 13:00,plymouth,wi,us,circle,60,1 min,I was on the deck behind my house and i saw the craft. it flew across the sky and disappeared over the horizon.,5/24/1999,43.7486111,-87.9769444
6/25/1998 20:30,mykonos island (greece),,,fireball,30,30 sec.,While videoing some boats docked in the marina I happenned to video a yellowish glowing trail 25 degrees off horizon far away during,4/2/1999,37.44146,25.366722
6/25/1998 22:18,las cruces,nm,us,circle,180,3 minutes,My father and i were driving home from El Paso Texas to Las Cruses New Mexico. Half way to las cruses(which is about a 30 min. driv,11/21/1998,32.3122222,-106.7777778
6/25/1999 0:00,anderson,ca,us,egg,5,5 seconds,I saw what appeared to be a white shooting star (no tail) 4x larger than the brightest star in the sky moving very fast.  It suddenly,7/5/1999,40.4483333,-122.2966667
6/25/1999 18:30,oak park,il,us,other,2700,45 mins,2 unidentidfied objects moving east-west. The first with 3 lobes the second a rectanglular object with light at &quot;front&quot;.,7/5/1999,41.885,-87.7844444
6/25/1999 21:15,kenora (sw of&#44 16 mi. on lake of the woods) (canada),on,ca,,1800,20 -30 min,About 9:15pm on June 25 1999 I saw bright green balls coming from the island across from us.  I told my father and he saw thm too.  Th,12/2/2000,49.766667,-94.466667
6/25/1999 21:15,kenora (sw of&#44 16 mi. on lake of the woods) (canada),on,ca,,1800,20 -30 min,At 9:15 My son saw some bright green balls coming from the ground up.  I then also saw them.  At first they came up individually and t,12/2/2000,49.766667,-94.466667
6/25/1999 22:00,idaho falls,id,us,unknown,10,10 seconds,3 lights above a well known park,1/21/2008,43.4666667,-112.0333333
6/25/1999 22:00,ottawa (canada),on,ca,sphere,120,2 minutes,Seen by my brother first. He called me outside to the back yard then I saw it; a bright light spherical in shape. I saw it move up (i,12/2/2000,45.416667,-75.7
6/25/1999 22:23,huntsville,al,us,oval,30,30 seconds,A oval shaped object that changed shapes and vanished in thin air.,7/5/1999,34.7302778,-86.5861111
6/26/1988 16:00,napa,ca,us,chevron,5,5 seconds,Chevron-slowly flying from SE to NW reminded me of a stealth plane with the edges in red-orange flames.  Rest of object was cloaked (in,2/27/2000,38.2972222,-122.2844444
6/26/1990 1:00,newton,nj,us,circle,120,about 2 min,It was at  tree top level and it was not a plane.  It was to low and i could tell it was round.,9/29/2004,41.0580556,-74.7530556
6/26/1994 21:00,burbank,ca,us,light,60.3,1min.30sec.,A row of lights in the night sky vanished after they split formation.,5/24/2005,34.1808333,-118.3080556
6/26/1995 16:00,surrey (canada),bc,ca,changing,60.3,1/2 hour,Morphing? Interdimensional Craft - Daylight Sighting,1/17/2004,49.13635335,-122.8213433
6/26/1997 18:23,pretoria (south africa),,,light,15,10-15 sec,Bright arc-white light observed moving fromWSW to ENE at high speed. Altitude roughly500 metres (1500 feet). Distance at start ofsight,1/28/1999,-25.746111,28.188056
6/26/1997 23:05,wendover (approx. 20 miles e of nv. i-80),ut,us,disk,35,35 sec.,Object flew towards us from S.E. and then parallel to us at 75 mph. Appox. 8 lights on outer circumference of disk shape only lights v,10/12/2001,40.7372222,-114.0366667
6/26/1998 10:15,trumann/jonesboro,ar,,other,6300,1 hour 45 mins,There was a full moon this night so the shapes were very easy to make out. Circular rectangleand diamond were the smaller ones. The,11/21/1998,35.731953,-90.484662
6/26/1998 19:30,apple valley,ca,us,other,1800,30 min,3 observers witnessed a &quot;manta-ray&quot; shaped craft move west over mountain range for 30 min. No lights or windows were visable.VERY LARGE,11/21/1998,34.5008333,-117.185
6/26/1999 10:22,lamar ((laa)&#44 (ne of&#44 fl310&#44 10 deg. above hor.),co,us,,30,:30 sec,Two starlike objects traverse starfield (25 degree arc). One adjusts on other. Flash infront of lead object-disappears. 2nd object turn,7/14/1999,38.0872222,-102.6202778
6/26/1999 12:30,san fransisco bay area,ca,,other,600,5 - 10 min,Lenticular object hovering over bay,7/5/1999,37.714145,-122.25
6/26/1999 17:15,seattle (georgetown),wa,us,disk,600,5-10 minutes,slow moving low altitude saucer heading N by NW moving in a straight line very steady.  The disk seemed to be round but would at tim,7/5/1999,47.6063889,-122.3308333
6/26/1999 20:20,sacramento,ca,us,light,180,2-3 minutes,Two Star-like lights seen in East Sacramento,7/5/1999,38.5816667,-121.4933333
6/27/1995 12:00,cherry hill,nj,us,,60,1 minute,Dentist witnesses small black dot very high in sky.  Accelerates (against wind) streaks out of sight.  Other witnesses.,11/2/1999,39.9347222,-75.0311111
6/27/1996 23:40,aylmer (canada),pq,ca,formation,15,15 seconds,Three lights flying in a perfect triange formation. There was absolutely no sound.,8/28/2003,45.4,-75.85
6/27/1997 0:50,gresham,or,us,triangle,120,? minute(s),Clear night &amp; sky - no other aircraft.  Saw strange lights in NE not like regular aircraft. Am trucker kept catching glimpse of lights,2/16/2000,45.4983333,-122.4302778
