OBJECTID,COMPONENT,SITE_NAME,JOINT_BASE,STATE_TERR,COUNTRY,OPER_STAT,PERIMETER,AREA,Shape_Length,Shape_Area
4,Army Active,Redstone Arsenal,N/A,Alabama,United States,Active,36.82437325,59.65636472,73710.27166,228766130.7
11,Army Active,Anniston Army Depot,N/A,Alabama,United States,Active,23.96588335,24.34134505,47656.47815,91222066.36
65,Army Active,Allen Stagefield AL,N/A,Alabama,United States,Active,1.64138338,0.17657484,3170.633316,627423.9947
66,Army Active,Brown 4b Stagefield AL,N/A,Alabama,United States,Active,1.98403965,0.25504468,3834.680625,909216.3744
67,Army Active,Cairns Basefield AL,N/A,Alabama,United States,Active,7.26037498,2.01590342,14027.72229,7170286.03
68,Army Active,Fort Rucker AL,N/A,Alabama,United States,Active,60.30741551,90.88878916,116795.2562,324133719.8
69,Army Active,Goldberg Stagefield AL,N/A,Alabama,United States,Active,1.74920071,0.1611586,3353.054528,574868.1559
70,Army Active,Highbluff Stagefield AL,N/A,Alabama,United States,Active,1.61826363,0.14827059,3117.613817,525969.6512
72,Army Active,Hunt Stagefield AL,N/A,Alabama,United States,Active,1.92317563,0.20039693,3686.716052,714306.6365
73,Army Active,Louisville Stagefield AL,N/A,Alabama,United States,Active,1.7233805,0.16235675,3357.487241,584096.7527
74,Army Active,Runkle Stagefield AL,N/A,Alabama,United States,Active,2.81278647,0.40943928,5437.820888,1458209.233
75,Army Active,Shell Basefield AL,N/A,Alabama,United States,Active,2.35801524,0.38200326,4569.609924,1361128.614
76,Army Active,Skelly Stagefield AL,N/A,Alabama,United States,Active,2.34611504,0.23301706,4497.769645,828932.579
77,Army Active,Stinson 5AB Stagefield AL,N/A,Alabama,United States,Active,2.09866788,0.27093983,4058.93737,965337.6281
81,Army Active,Tac X Stagefield AL,N/A,Alabama,United States,Active,1.68250287,0.07945462,3234.799874,281687.0809
82,Army Active,Toth Stagefield AL,N/A,Alabama,United States,Active,1.76953087,0.19007856,3424.921335,675373.8705
579,Army Active,Fort Benning AL,N/A,Alabama,United States,Active,29.08141831,19.31206884,56833.31512,70185290.05
2564,AF Active,Maxwell AFB Gunter Annex,N/A,Alabama,United States,Active,6.02781658,0.59023271,11866.97005,2150856.986
2567,AF Active,Maxwell AFB,N/A,Alabama,United States,Active,9.61208808,3.63838956,18795.07377,13251616.26
2850,AF Guard,Montgomery Regional Airport ANGB,N/A,Alabama,United States,Active,1.88042428,0.09895828,3722.77337,359808.8077
2932,AF Guard,Birmingham Airport,N/A,Alabama,United States,Active,4.14696304,0.21035001,8237.093281,786832.2903
3331,Army Guard,NG Fort McClellan ARNG Tng Center,N/A,Alabama,United States,Active,5.8097707,0.79923366,11573.65154,3000765.679
3337,Army Guard,NG Pelham Range Training Site - Fort McClellan,N/A,Alabama,United States,Active,25.51423338,34.72625367,50889.77058,130335343.5
3509,Army Guard,NG RW Shepherd Hope Hull,N/A,Alabama,United States,Active,2.13542644,0.10807432,4152.729563,392801.482
3692,Army Guard,NG SMD,N/A,Alabama,United States,Active,1.24305785,0.10444374,2441.355223,380592.3669
4041,Army Guard,NG AASF02 Birmingham,N/A,Alabama,United States,Active,0.75405387,0.03481815,1489.122678,130239.2571
5547,Navy Active,Barin Field,N/A,Alabama,United States,Active,9.4056082,1.32276048,17930.59281,4619503.439
5549,Navy Active,NOLF Brewton,N/A,Alabama,United States,Active,5.11835413,1.02628265,9867.39675,3632830.132
5551,Navy Active,NOLF Evergreen,N/A,Alabama,United States,Active,6.50657585,0.69424386,12591.25426,2476463.63
5556,Navy Active,NOLF Silverhill,N/A,Alabama,United States,Active,5.2584411,0.63128234,10075.80205,2212315.401
5559,Navy Active,NOLF Summerdale,N/A,Alabama,United States,Active,4.29074585,0.87455448,8223.424769,3061492.093
5560,Navy Active,NOLF Wolf,N/A,Alabama,United States,Active,5.45687663,0.65753993,10409.16634,2294183.927
646,Army Active,Fort Greely,N/A,Alaska,United States,Active,16.6596204,10.67476022,60174.01297,142943258.1
876,Army Active,Fort Wainwright,N/A,Alaska,United States,Active,211.701871,1034.022421,770708.8639,14438114406
877,Army Active,Seward Recreation Area,N/A,Alaska,United States,Active,0.58001148,0.01811696,1871.208257,188575.9555
1797,AF Active,Clear Air Force Station,N/A,Alaska,United States,Active,19.99637984,17.9384353,72217.73738,245806092.5
2636,AF Active,Fort Richardson,Joint Base Elmendorf - Richardson,Alaska,United States,Active,78.52652418,93.34278088,261351.6652,1042266328
2637,AF Active,Elmendorf AFB,Joint Base Elmendorf - Richardson,Alaska,United States,Active,19.79301824,17.07431075,65893.13408,190701058.7
